SampleSize,Replicate (R)
24.0,no
24.0,no
25.0,no
240.0,no
32.0,no
24.0,yes
100.0,no
39.0,no
32.0,yes
22.0,yes
48.0,no
36.0,yes
95.0,yes
39.0,yes
32.0,no
96.0,no
18.0,no
154.0,yes
24.0,yes
16.0,yes
32.0,yes
32.0,no
8.0,yes
37.0,yes
40.0,yes
24.0,yes
12.0,yes
68.0,no
67.0,no
70.0,yes
230047.0,yes
100.0,no
36.0,no
98.0,no
133.0,no
48.0,no
57.0,no
103.0,no
186.0,no
153.0,yes
110.0,no
71.0,no
82.0,no
45.0,no
122.0,no
211.0,yes
375.0,no
261.0,no
37.0,yes
246.0,no
46.0,no
94.0,no
50.0,no
52.0,yes
85.0,no
55.0,no
163.0,yes
91.0,no
28.0,yes
90.0,no
236.0,no
36.0,no
86.0,no
280.0,no
59.0,yes
141.0,yes
125.0,yes
32.0,yes
32.0,no
173.0,yes
12.0,yes
115.0,no
31.0,no
12.0,yes
8.0,yes
36.0,no
29.0,yes
28.0,no
25.0,no
24.0,yes
119.0,yes
564.0,no
30.0,no
4.0,yes
84.0,no
82.0,yes
57.0,no
240.0,yes
15.0,no
208.0,no
208.0,no
14.0,no
43.0,no
8.0,no
70.0,yes
53.0,no
40.0,yes
48.0,no
56.0,no
18.0,no
